MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,section,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround,northendpilot,timestamp,parent,losta,hista
3145,Normandy St,3,North Dorchester,12:00,16:00,Even,Lawrence Ave,Stanwood St,0.254545454545455,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,NORMA2,0,1344
3146,Normandy St,3,North Dorchester,12:00,16:00,Odd,Lawrence Ave,Stanwood St,0.254545454545455,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,NORMA2,0,1344
3147,Intervale St,3,North Dorchester,12:00,16:00,Even,Blue Hill Ave,Columbia Rd,0.393939393939394,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,INTER1,644,2724
3148,West Howell St,3,North Dorchester,08:00,12:00,Even,Boston St,Dead End,7.97348484848485E-02,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,WEST 16,0,421
3149,West Howell St,3,North Dorchester,08:00,12:00,Odd,Boston St,Dead End,7.97348484848485E-02,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,WEST 16,0,421
3150,Mosgrove Ave,2,Jamaica Plain,12:00,16:00,Even,Washington St,South St,7.02651515151515E-02,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,MOSGR1,0,371
3151,Mosgrove Ave,2,Jamaica Plain,12:00,16:00,Odd,Washington St,South St,7.02651515151515E-02,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,MOSGR1,0,371
3152,South St,2,Jamaica Plain,12:00,16:00,Even,Archdale Rd,Washington St,0.396022727272727,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SOUTH5,7330,9421
3153,South St,2,Jamaica Plain,12:00,16:00,Odd,Archdale Rd,Washington St,0.396022727272727,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SOUTH5,7330,9421
3154,Selkirk Rd,4,Allston/Brighton,12:00,16:00,Odd,Kilsyth Rd,Chiswick Rd,0.152272727272727,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,7/15/2021 3:01:36 PM,SELKI1,0,804
3155,Wabeno St,10R,Roxbury,12:00,16:00,Even,Wyoming St,Waumbeck St,8.93939393939394E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,WABEN1,0,472
3156,Wabeno St,10R,Roxbury,12:00,16:00,Odd,Wyoming St,Waumbeck St,8.93939393939394E-02,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,WABEN1,0,472
3157,Humboldt Ave,10R,Roxbury,08:00,12:00,Even,Walnut Ave,Seaver St,0.822159090909091,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,False,10/12/2021 3:40:51 PM,HUMBO1,0,4341
3158,Crestwood Park,10R,Roxbury,12:00,16:00,Even,Townsend St,Townsend St,0.135037878787879,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,CREST6,0,713
3159,Crestwood Park,10R,Roxbury,12:00,16:00,Odd,Townsend St,Townsend St,0.135037878787879,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,CREST6,0,713
3160,Brinton St,10R,Roxbury,12:00,16:00,Odd,Washington St,Dead End,5.83333333333333E-02,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,BRINT1,0,308
3161,Brinton St,10R,Roxbury,12:00,16:00,Even,Washington St,Dead End,5.83333333333333E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,BRINT1,0,308
3162,Codman Park,10R,Roxbury,12:00,16:00,Odd,Brinton St,Dead End,0.183712121212121,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,CODMA2,0,970
3163,Codman Park,10R,Roxbury,12:00,16:00,Even,Brinton St,Dead End,0.183712121212121,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,CODMA2,0,970
3164,Maywood St,10R,Roxbury,08:00,12:00,Even,Warren St,Blue Hill Ave,0.248295454545455,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,MAYWO1,0,1311
3165,Phipps St,1C,Charlestown,12:00,16:00,Odd,Main St,Lawrence St,4.16666666666667E-02,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,PHIPP1,0,220
3166,Maywood St,10R,Roxbury,08:00,12:00,Odd,Warren St,Blue Hill Ave,0.248295454545455,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,MAYWO1,0,1311
3167,Walnut Ave,10R,Roxbury,12:00,16:00,Odd,Humboldt Ave,Columbus Ave,0.750568181818182,,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,WALNU1,1556,5519
3168,Kearsarge Ave,10R,Roxbury,08:00,12:00,Even,Warren St,Winthrop St,0.122159090909091,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,KEARS1,0,645
3169,Kearsarge Ave,10R,Roxbury,08:00,12:00,Odd,Warren St,Winthrop St,0.122159090909091,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,KEARS1,0,645
3170,Copeland Park,10R,Roxbury,08:00,12:00,Even,Copeland St,Dead End,2.74621212121212E-02,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,COPEL1,0,145
3171,Copeland Park,10R,Roxbury,08:00,12:00,Odd,Copeland St,Dead End,2.74621212121212E-02,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,COPEL1,0,145
3172,Cabot St,10R,Roxbury,08:00,12:00,Even,Ruggles St,Whittier St,7.97348484848485E-02,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,CABOT1,0,421
3173,Cabot St,10R,Roxbury,08:00,12:00,Odd,Ruggles St,Whittier St,7.97348484848485E-02,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2/29/2012 10:06:53 AM,CABOT1,0,421
3174,Salem St,1C,Charlestown,08:00,12:00,Even,Main St,High St,7.14015151515151E-02,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,8/17/2020 9:13:06 AM,SALEM1,0,377
3175,Salem St,1C,Charlestown,08:00,12:00,Odd,Main St,High St,7.14015151515151E-02,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,SALEM1,0,377
3178,Short St,1C,Charlestown,08:00,12:00,Even,Bunker Hill St,Medford St,6.49621212121212E-02,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SHORT1,0,343
